Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,year,region,type_encoded
2016-12-25,1.52,73341,3202,58280,426,11432,11017,411,2,2016,Albany,0
2016-12-18,1.53,68938,3345,55949,138,9504,8876,587,40,2016,Albany,0
2016-12-11,1.49,71777,2323,56545,86,12822,12176,645,0,2016,Albany,0
2016-12-04,1.48,113031,6530,99746,50,6704,6476,228,0,2016,Albany,0
2016-11-27,1.52,58171,2793,47106,18,8253,7973,279,0,2016,Albany,0
2016-11-20,1.56,70089,3675,56898,11,9504,9238,209,56,2016,Albany,0
2016-11-13,1.62,63608,3523,49837,34,10212,9790,422,0,2016,Albany,0
2016-11-06,1.63,57178,3212,43024,36,10905,10474,431,0,2016,Albany,0
2016-10-30,1.46,58375,3187,45898,54,9235,9153,82,0,2016,Albany,0
2016-10-23,1.19,92080,4222,77537,46,10274,10160,113,0,2016,Albany,0
2016-10-16,1.4,69060,4027,54186,53,10793,10434,358,0,2016,Albany,0
2016-10-09,1.13,101087,3641,87174,102,10169,9744,425,0,2016,Albany,0
2016-10-02,1.51,75480,4109,57515,84,13771,13345,425,0,2016,Albany,0
2016-09-25,1.62,96853,7658,79425,43,9725,9586,138,0,2016,Albany,0
2016-09-18,1.39,79513,6624,63384,37,9467,8958,509,0,2016,Albany,0
2016-09-11,1.37,81473,6258,63511,42,11660,10839,815,5,2016,Albany,0
2016-09-04,1.44,95456,14741,64966,88,15660,15340,220,100,2016,Albany,0
2016-08-28,1.18,145323,34912,94928,53,15427,14367,269,790,2016,Albany,0
2016-08-21,1.43,94882,14520,63416,28,16917,15811,286,820,2016,Albany,0
2016-08-14,1.2,110528,24000,72970,26,13530,12434,350,745,2016,Albany,0
2016-08-07,1.48,99683,14670,69054,10,15947,14597,178,1171,2016,Albany,0
2016-07-31,1.61,125586,9293,96915,25,19352,18803,78,470,2016,Albany,0
2016-07-24,1.46,98321,11580,65195,13,21531,18639,241,2650,2016,Albany,0
2016-07-17,1.31,89228,9273,64260,80,15613,13439,688,1485,2016,Albany,0
2016-07-10,1.11,131630,20970,96581,46,14031,10876,470,2685,2016,Albany,0
2016-07-03,1.42,115907,8373,82122,146,25264,21872,492,2900,2016,Albany,0
2016-06-26,1.5,133086,7923,106656,37,18469,16479,419,1570,2016,Albany,0
2016-06-19,1.42,112817,6766,85374,30,20646,18526,389,1730,2016,Albany,0
2016-06-12,1.38,111394,7531,83771,81,20010,18368,282,1360,2016,Albany,0
2016-06-05,1.47,115857,4288,92055,53,19458,17385,398,1675,2016,Albany,0
2016-05-29,1.49,127812,2580,104876,103,20250,19519,180,550,2016,Albany,0
2016-05-22,1.34,98863,929,74678,59,23197,22571,20,605,2016,Albany,0
2016-05-15,1.36,96924,901,75847,82,20091,19802,288,0,2016,Albany,0
2016-05-08,1.27,120194,1041,96137,84,22929,22697,232,0,2016,Albany,0
2016-05-01,1.03,173781,884,163570,37,9289,8918,321,48,2016,Albany,0
2016-04-24,1.18,102490,954,87571,43,13921,13463,337,119,2016,Albany,0
2016-04-17,1.22,86433,898,70042,25,15467,14642,712,112,2016,Albany,0
2016-04-10,1.46,70253,972,56128,38,13114,12671,443,0,2016,Albany,0
2016-04-03,0.85,81694,676,70459,31,10527,10058,468,0,2016,Albany,0
2016-03-27,1.49,92529,808,78146,36,13537,13037,500,0,2016,Albany,0
2016-03-20,1.32,110401,764,97082,70,12484,12286,198,0,2016,Albany,0
2016-03-13,1.18,108264,847,96117,60,11239,10817,421,0,2016,Albany,0
2016-03-06,1.27,90633,972,74693,56,14911,14476,435,0,2016,Albany,0
2016-02-28,1.26,87822,805,72159,63,14793,13739,1054,0,2016,Albany,0
2016-02-21,1.28,99817,869,84484,24,14438,12280,2157,0,2016,Albany,0
2016-02-14,1.13,98008,1640,77133,12,19222,17663,1558,0,2016,Albany,0
2016-02-07,1.07,169614,2031,157271,109,10200,9349,850,0,2016,Albany,0
2016-01-31,1.16,102038,1386,79881,69,20700,19788,912,0,2016,Albany,0
2016-01-24,1.22,96089,545,70802,68,24672,23926,746,0,2016,Albany,0
2016-01-17,1.26,119972,1202,100613,51,18105,17980,124,0,2016,Albany,0
2016-01-10,1.28,79121,848,66696,109,11467,11293,173,0,2016,Albany,0
2016-01-03,1.03,149038,939,139735,132,8230,8056,173,0,2016,Albany,0
2016-12-25,0.91,502787,205855,86015,184,210731,118884,91847,0,2016,Atlanta,0
2016-12-18,0.94,463483,191753,80565,283,190881,114872,76009,0,2016,Atlanta,0
2016-12-11,1.06,422026,186343,56200,171,179311,112574,66736,0,2016,Atlanta,0
2016-12-04,1.03,475815,210602,93414,207,171591,67806,103784,0,2016,Atlanta,0
2016-11-27,1.22,372144,161631,55595,167,154749,89194,65518,36,2016,Atlanta,0
2016-11-20,1.14,448936,189206,58005,167,201556,128442,72236,877,2016,Atlanta,0
2016-11-13,1.25,408260,185966,63348,180,158765,92308,66233,223,2016,Atlanta,0
2016-11-06,1.29,393826,167083,65207,168,161367,82410,78956,0,2016,Atlanta,0
2016-10-30,1.26,408314,162367,69366,160,176420,94305,82115,0,2016,Atlanta,0
2016-10-23,1.23,422281,171215,67824,166,183075,110435,72639,0,2016,Atlanta,0
2016-10-16,1.16,459564,188793,82089,103,188578,87593,100984,0,2016,Atlanta,0
2016-10-09,1.23,452109,187260,69425,156,195266,95659,99113,493,2016,Atlanta,0
2016-10-02,1.26,440044,182418,69411,140,188073,104367,83706,0,2016,Atlanta,0
2016-09-25,1.26,435756,174532,77098,131,183993,109841,73830,322,2016,Atlanta,0
2016-09-18,1.01,527700,233800,70931,132,222836,139748,82907,180,2016,Atlanta,0
2016-09-11,0.9,597759,286405,54347,206,256799,194086,62713,0,2016,Atlanta,0
2016-09-04,0.89,614657,356593,55475,130,202457,126235,75979,243,2016,Atlanta,0
2016-08-28,0.95,539642,294240,42109,123,203168,132127,70394,647,2016,Atlanta,0
2016-08-21,0.94,549139,293240,48349,82,207465,160464,47001,0,2016,Atlanta,0
2016-08-14,0.87,666493,362923,60912,86,242570,182840,59729,0,2016,Atlanta,0
2016-08-07,1.04,508354,252171,63197,58,192926,131851,61075,0,2016,Atlanta,0
2016-07-31,0.98,537633,232640,76301,64,228626,161931,66694,0,2016,Atlanta,0
2016-07-24,1.0,495686,215522,92726,110,187326,120773,66553,0,2016,Atlanta,0
2016-07-17,1.01,474063,202638,82942,164,188318,108732,78958,627,2016,Atlanta,0
2016-07-10,0.92,560865,240109,95457,256,225042,146617,78213,211,2016,Atlanta,0
2016-07-03,0.77,789398,310551,150339,165,328341,216115,110544,1681,2016,Atlanta,0
2016-06-26,0.85,606856,272203,82764,173,251715,199572,52123,20,2016,Atlanta,0
2016-06-19,0.78,692767,361697,96388,264,234417,148946,84045,1425,2016,Atlanta,0
2016-06-12,0.78,608386,313216,61563,1174,232431,169986,55753,6691,2016,Atlanta,0
2016-06-05,0.75,691201,341027,123405,561,226206,112958,105974,7273,2016,Atlanta,0
2016-05-29,0.78,691344,267460,154238,246,269397,77155,186791,5450,2016,Atlanta,0
2016-05-22,0.79,585351,206761,110884,174,267531,91575,171020,4934,2016,Atlanta,0
2016-05-15,0.68,755306,292232,166131,80,296862,126898,169317,646,2016,Atlanta,0
2016-05-08,0.81,643699,199995,159036,253,284413,77087,206444,881,2016,Atlanta,0
2016-05-01,0.77,735635,241665,211776,54,282138,64801,217337,0,2016,Atlanta,0
2016-04-24,0.79,654018,233878,189043,67,231029,71926,158919,183,2016,Atlanta,0
2016-04-17,0.89,512348,190569,124409,106,197262,66461,130217,583,2016,Atlanta,0
2016-04-10,0.83,590001,258662,141605,432,189301,69497,119037,766,2016,Atlanta,0
2016-04-03,1.03,423485,253540,69327,1349,99268,62657,36611,0,2016,Atlanta,0
2016-03-27,0.98,458635,286918,59289,1320,111106,78824,32268,13,2016,Atlanta,0
2016-03-20,0.98,496190,323216,61127,1727,110119,75568,34551,0,2016,Atlanta,0
2016-03-13,0.9,588656,336350,110105,1906,140293,73593,66700,0,2016,Atlanta,0
2016-03-06,1.03,458837,299983,61770,1499,95584,62105,33478,0,2016,Atlanta,0
2016-02-28,0.9,555470,325884,106311,1136,122138,60231,61906,0,2016,Atlanta,0
2016-02-21,1.04,417205,270173,61591,1996,83444,55736,27708,0,2016,Atlanta,0
2016-02-14,0.97,481484,313342,57925,1008,109208,74366,34842,0,2016,Atlanta,0
2016-02-07,0.76,722211,415641,134517,418,171633,77183,94449,0,2016,Atlanta,0
2016-01-31,1.04,437490,290451,58974,412,87653,54822,32830,0,2016,Atlanta,0
2016-01-24,0.92,528776,318372,86816,401,123185,64716,58468,0,2016,Atlanta,0
2016-01-17,1.04,445089,308722,45915,654,89797,56526,33270,0,2016,Atlanta,0
2016-01-10,0.93,558348,377244,67316,464,113323,54693,58630,0,2016,Atlanta,0
2016-01-03,1.05,449263,350316,32958,396,65592,43674,21906,10,2016,Atlanta,0
2016-12-25,1.47,550947,50818,344699,8529,146899,142957,2629,1312,2016,BaltimoreWashington,0
2016-12-18,1.21,691008,57866,487109,8751,137281,133753,2845,682,2016,BaltimoreWashington,0
2016-12-11,1.35,599161,49240,375437,9977,164505,153476,11028,0,2016,BaltimoreWashington,0
2016-12-04,1.41,566956,52095,345132,10049,159678,157703,1738,236,2016,BaltimoreWashington,0
2016-11-27,1.49,539924,46243,336731,8237,148712,146287,1715,709,2016,BaltimoreWashington,0
2016-11-20,1.6,566160,51078,309529,13095,192456,189672,1882,901,2016,BaltimoreWashington,0
2016-11-13,1.73,559978,64630,311687,28558,155102,153317,1348,436,2016,BaltimoreWashington,0
2016-11-06,1.8,537945,61458,284547,41286,150652,149603,1048,0,2016,BaltimoreWashington,0
2016-10-30,1.86,522546,58412,304616,27903,131613,130682,565,365,2016,BaltimoreWashington,0
2016-10-23,1.85,584275,56864,336433,27036,163941,163070,382,487,2016,BaltimoreWashington,0
2016-10-16,1.69,638848,63424,363924,19878,191620,190381,1238,0,2016,BaltimoreWashington,0
2016-10-09,1.59,676188,72775,395481,20639,187292,185599,1332,361,2016,BaltimoreWashington,0
2016-10-02,1.66,672759,78716,381624,19492,192925,190861,1423,641,2016,BaltimoreWashington,0
